Detected Linux/other - using native python3
Results will be saved to: results/creditcard_20260514_141901
Dataset: creditcard

Activating virtual environment (Linux: ~/Downloads/venv)...
==============================================
STARTING A2QA BASELINE EXPERIMENTS
==============================================

==============================================
EXPERIMENT 1: Minimal Viable Baseline
==============================================
[I 2026-05-14 14:19:03,284] A new study created in memory with name: no-name-d2e84c05-96e5-4891-9bb6-b7786f69a093
[I 2026-05-14 14:19:04,485] Trial 0 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 311, 'max_depth': 7, 'learning_rate': 0.15257372784439052, 'scale_pos_weight': 561.7482774926185}. Best is trial 0 with value: 0.8380952380952381.
[I 2026-05-14 14:45:34,870] Trial 15 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 355, 'max_depth': 7, 'learning_rate': 0.13329175363612936, 'scale_pos_weight': 595.2301265729942}. Best is trial 10 with value: 0.8627450980392157.
[I 2026-05-14 14:45:40,134] Trial 16 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 282, 'max_depth': 6, 'learning_rate': 0.19970276154599678, 'scale_pos_weight': 552.9207782867533}. Best is trial 10 with value: 0.8627450980392157.
[I 2026-05-14 14:45:43,621] Trial 17 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 290, 'max_depth': 4, 'learning_rate': 0.10421043649143434, 'scale_pos_weight': 621.2444310709063}. Best is trial 10 with value: 0.8627450980392157.
[I 2026-05-14 14:45:46,891] Trial 18 finished with value: 0.8712871287128713 and parameters: {'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.1809216688091539, 'scale_pos_weight': 464.9119438224863}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:45:54,565] Trial 19 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 383, 'max_depth': 5, 'learning_rate': 0.14186634233624412, 'scale_pos_weight': 420.78567190708634}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:45:57,836] Trial 20 finished with value: 0.8349514563106796 and parameters: {'n_estimators': 345, 'max_depth': 6, 'learning_rate': 0.18465199149573996, 'scale_pos_weight': 469.6178518793862}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:46:06,907] Trial 21 finished with value: 0.8349514563106796 and parameters: {'n_estimators': 397, 'max_depth': 5, 'learning_rate': 0.1808116498578431, 'scale_pos_weight': 441.50843919027926}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:46:15,613] Trial 22 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 356, 'max_depth': 4, 'learning_rate': 0.17777098130466856, 'scale_pos_weight': 567.9156115797421}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:46:28,770] Trial 23 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 288, 'max_depth': 5, 'learning_rate': 0.19709977579390997, 'scale_pos_weight': 523.2581019931421}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:46:36,644] Trial 24 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 339, 'max_depth': 5, 'learning_rate': 0.11307600038901876, 'scale_pos_weight': 600.0228992041859}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:46:50,628] Trial 25 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 372, 'max_depth': 5, 'learning_rate': 0.15369921660523964, 'scale_pos_weight': 469.7982670850709}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:46:57,470] Trial 26 finished with value: 0.8653846153846154 and parameters: {'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.1743963216640593, 'scale_pos_weight': 422.08740435766055}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:47:05,103] Trial 27 finished with value: 0.8301886792452831 and parameters: {'n_estimators': 396, 'max_depth': 7, 'learning_rate': 0.17649849779724971, 'scale_pos_weight': 425.6148803437662}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:47:07,981] Trial 28 finished with value: 0.8269230769230769 and parameters: {'n_estimators': 308, 'max_depth': 6, 'learning_rate': 0.17533706604258925, 'scale_pos_weight': 445.33124580366035}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:47:11,336] Trial 29 finished with value: 0.8349514563106796 and parameters: {'n_estimators': 378, 'max_depth': 6, 'learning_rate': 0.15311145922705513, 'scale_pos_weight': 458.8865916762524}. Best is trial 18 with value: 0.8712871287128713.
[I 2026-05-14 14:56:36,449] A new study created in memory with name: no-name-26641fa6-9533-479d-9220-39e0ec0c9d7f
[I 2026-05-14 14:56:38,339] Trial 0 finished with value: 0.7818181818181819 and parameters: {'n_estimators': 345, 'max_depth': 4, 'learning_rate': 0.1874438208322045, 'scale_pos_weight': 523.7045728423457}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:56:38,500] Trial 1 finished with value: 0.7304347826086957 and parameters: {'n_estimators': 106, 'max_depth': 6, 'learning_rate': 0.10848561307888376, 'scale_pos_weight': 602.6299037208404}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:56:38,838] Trial 2 finished with value: 0.7747747747747747 and parameters: {'n_estimators': 272, 'max_depth': 4, 'learning_rate': 0.09881029050222451, 'scale_pos_weight': 576.9104338956381}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:56:39,319] Trial 3 finished with value: 0.7543859649122807 and parameters: {'n_estimators': 343, 'max_depth': 6, 'learning_rate': 0.06291977557350376, 'scale_pos_weight': 550.8539620404993}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:56:41,309] Trial 4 finished with value: 0.7433628318584071 and parameters: {'n_estimators': 180, 'max_depth': 7, 'learning_rate': 0.14905494974239225, 'scale_pos_weight': 491.921279249587}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:56:42,893] Trial 5 finished with value: 0.75 and parameters: {'n_estimators': 195, 'max_depth': 7, 'learning_rate': 0.1688049758605999, 'scale_pos_weight': 423.88515242609805}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:56:47,130] Trial 6 finished with value: 0.7818181818181819 and parameters: {'n_estimators': 305, 'max_depth': 4, 'learning_rate': 0.08436393083091659, 'scale_pos_weight': 461.83498319963115}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:56:52,083] Trial 7 finished with value: 0.7433628318584071 and parameters: {'n_estimators': 132, 'max_depth': 7, 'learning_rate': 0.11675483034845917, 'scale_pos_weight': 583.9065332378699}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:56:58,817] Trial 8 finished with value: 0.7678571428571429 and parameters: {'n_estimators': 151, 'max_depth': 5, 'learning_rate': 0.17023471305650695, 'scale_pos_weight': 463.49349986950534}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:57:03,576] Trial 9 finished with value: 0.7433628318584071 and parameters: {'n_estimators': 154, 'max_depth': 7, 'learning_rate': 0.11767195807779787, 'scale_pos_weight': 601.3509466051842}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:57:08,102] Trial 10 finished with value: 0.7678571428571429 and parameters: {'n_estimators': 393, 'max_depth': 3, 'learning_rate': 0.19647192412586167, 'scale_pos_weight': 531.1834541016383}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:57:08,501] Trial 11 finished with value: 0.7747747747747747 and parameters: {'n_estimators': 294, 'max_depth': 4, 'learning_rate': 0.06409325130436451, 'scale_pos_weight': 489.93638572749865}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:57:16,279] Trial 12 finished with value: 0.7719298245614035 and parameters: {'n_estimators': 321, 'max_depth': 3, 'learning_rate': 0.08509167981396569, 'scale_pos_weight': 432.6325399747262}. Best is trial 0 with value: 0.7818181818181819.
[I 2026-05-14 14:57:21,332] Trial 13 finished with value: 0.7889908256880734 and parameters: {'n_estimators': 375, 'max_depth': 4, 'learning_rate': 0.1438376569101003, 'scale_pos_weight': 503.021874959991}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:57:24,465] Trial 14 finished with value: 0.75 and parameters: {'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.14264074043943253, 'scale_pos_weight': 514.2220968670179}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:57:28,548] Trial 15 finished with value: 0.7678571428571429 and parameters: {'n_estimators': 356, 'max_depth': 4, 'learning_rate': 0.19929593218531708, 'scale_pos_weight': 545.6035612231528}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:57:36,639] Trial 16 finished with value: 0.7413793103448276 and parameters: {'n_estimators': 231, 'max_depth': 5, 'learning_rate': 0.17615486241139833, 'scale_pos_weight': 509.7630481129748}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:57:41,109] Trial 17 finished with value: 0.7747747747747747 and parameters: {'n_estimators': 360, 'max_depth': 3, 'learning_rate': 0.14197270216030441, 'scale_pos_weight': 466.8616067472205}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:57:43,591] Trial 18 finished with value: 0.7747747747747747 and parameters: {'n_estimators': 374, 'max_depth': 4, 'learning_rate': 0.1562093707389635, 'scale_pos_weight': 546.8025207335496}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:57:47,496] Trial 19 finished with value: 0.7678571428571429 and parameters: {'n_estimators': 257, 'max_depth': 5, 'learning_rate': 0.1840004204385997, 'scale_pos_weight': 490.1654864891131}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:57:50,503] Trial 20 finished with value: 0.7368421052631579 and parameters: {'n_estimators': 332, 'max_depth': 6, 'learning_rate': 0.1305491190734186, 'scale_pos_weight': 564.1205463754917}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:57:52,953] Trial 21 finished with value: 0.7818181818181819 and parameters: {'n_estimators': 304, 'max_depth': 4, 'learning_rate': 0.07978000937904406, 'scale_pos_weight': 462.9552972597182}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:57:57,384] Trial 22 finished with value: 0.7747747747747747 and parameters: {'n_estimators': 294, 'max_depth': 4, 'learning_rate': 0.09304807101547392, 'scale_pos_weight': 453.51016208850956}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:58:02,011] Trial 23 finished with value: 0.7678571428571429 and parameters: {'n_estimators': 322, 'max_depth': 3, 'learning_rate': 0.13132388612796725, 'scale_pos_weight': 501.1733685091879}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:58:05,566] Trial 24 finished with value: 0.7818181818181819 and parameters: {'n_estimators': 380, 'max_depth': 4, 'learning_rate': 0.05117370245404858, 'scale_pos_weight': 530.051456877623}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:58:09,734] Trial 25 finished with value: 0.7652173913043478 and parameters: {'n_estimators': 236, 'max_depth': 3, 'learning_rate': 0.16104573905217445, 'scale_pos_weight': 444.4140165061046}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:58:13,323] Trial 26 finished with value: 0.7747747747747747 and parameters: {'n_estimators': 353, 'max_depth': 4, 'learning_rate': 0.18416055771144965, 'scale_pos_weight': 475.9533807648092}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:58:15,700] Trial 27 finished with value: 0.7433628318584071 and parameters: {'n_estimators': 279, 'max_depth': 5, 'learning_rate': 0.10357293570611285, 'scale_pos_weight': 480.51907584411873}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:58:23,590] Trial 28 finished with value: 0.7719298245614035 and parameters: {'n_estimators': 313, 'max_depth': 5, 'learning_rate': 0.07448558131576588, 'scale_pos_weight': 532.0896603655599}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 14:58:27,530] Trial 29 finished with value: 0.7433628318584071 and parameters: {'n_estimators': 335, 'max_depth': 6, 'learning_rate': 0.11004347124688688, 'scale_pos_weight': 444.71855459687873}. Best is trial 13 with value: 0.7889908256880734.
[I 2026-05-14 15:08:44,982] A new study created in memory with name: no-name-6bf689a4-a241-4f69-844e-026d616ed639
[I 2026-05-14 15:08:45,801] Trial 0 finished with value: 0.3904382470119522 and parameters: {'n_estimators': 387, 'max_depth': 6, 'learning_rate': 0.18085117904888548, 'scale_pos_weight': 456.0686770416536}. Best is trial 0 with value: 0.3904382470119522.
[I 2026-05-14 15:08:45,978] Trial 1 finished with value: 0.3904382470119522 and parameters: {'n_estimators': 211, 'max_depth': 7, 'learning_rate': 0.18596873622886156, 'scale_pos_weight': 507.6643678412987}. Best is trial 0 with value: 0.3904382470119522.
[I 2026-05-14 15:08:46,209] Trial 2 finished with value: 0.3952569169960474 and parameters: {'n_estimators': 312, 'max_depth': 4, 'learning_rate': 0.14227168331154544, 'scale_pos_weight': 607.491673519305}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:08:46,466] Trial 3 finished with value: 0.3904382470119522 and parameters: {'n_estimators': 380, 'max_depth': 6, 'learning_rate': 0.16321064329211965, 'scale_pos_weight': 519.615017119956}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:08:46,579] Trial 4 finished with value: 0.39215686274509803 and parameters: {'n_estimators': 179, 'max_depth': 4, 'learning_rate': 0.12942784971087085, 'scale_pos_weight': 583.4442015216583}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:08:46,748] Trial 5 finished with value: 0.3952569169960474 and parameters: {'n_estimators': 279, 'max_depth': 4, 'learning_rate': 0.15393655893722696, 'scale_pos_weight': 464.7365928978197}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:08:50,431] Trial 6 finished with value: 0.35842293906810035 and parameters: {'n_estimators': 189, 'max_depth': 3, 'learning_rate': 0.054255225830697994, 'scale_pos_weight': 455.57439502574454}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:08:52,539] Trial 7 finished with value: 0.3904382470119522 and parameters: {'n_estimators': 333, 'max_depth': 6, 'learning_rate': 0.09875584333126927, 'scale_pos_weight': 581.6150983090217}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:08:55,370] Trial 8 finished with value: 0.36363636363636365 and parameters: {'n_estimators': 322, 'max_depth': 3, 'learning_rate': 0.050825663104088814, 'scale_pos_weight': 432.0686126331269}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:08:56,031] Trial 9 finished with value: 0.3904382470119522 and parameters: {'n_estimators': 134, 'max_depth': 5, 'learning_rate': 0.19985978854574965, 'scale_pos_weight': 480.4947463123061}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:08:59,429] Trial 10 finished with value: 0.3937007874015748 and parameters: {'n_estimators': 266, 'max_depth': 4, 'learning_rate': 0.10330189818076821, 'scale_pos_weight': 620.9648729307589}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:00,960] Trial 11 finished with value: 0.3952569169960474 and parameters: {'n_estimators': 277, 'max_depth': 4, 'learning_rate': 0.1453568744745591, 'scale_pos_weight': 538.5837138609362}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:03,084] Trial 12 finished with value: 0.3904382470119522 and parameters: {'n_estimators': 301, 'max_depth': 5, 'learning_rate': 0.14991227543479485, 'scale_pos_weight': 416.4026799600735}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:07,331] Trial 13 finished with value: 0.38910505836575876 and parameters: {'n_estimators': 233, 'max_depth': 4, 'learning_rate': 0.11219670994592416, 'scale_pos_weight': 554.8788822977654}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:08,075] Trial 14 finished with value: 0.37735849056603776 and parameters: {'n_estimators': 343, 'max_depth': 3, 'learning_rate': 0.12888433469303576, 'scale_pos_weight': 619.23878674094}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:12,952] Trial 15 finished with value: 0.3888888888888889 and parameters: {'n_estimators': 285, 'max_depth': 5, 'learning_rate': 0.0831067404592837, 'scale_pos_weight': 492.5163106716082}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:18,059] Trial 16 finished with value: 0.3952569169960474 and parameters: {'n_estimators': 238, 'max_depth': 4, 'learning_rate': 0.16130816678289814, 'scale_pos_weight': 465.0325068855981}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:21,429] Trial 17 finished with value: 0.36363636363636365 and parameters: {'n_estimators': 104, 'max_depth': 3, 'learning_rate': 0.1436474151258735, 'scale_pos_weight': 582.7991510565415}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:26,687] Trial 18 finished with value: 0.3952569169960474 and parameters: {'n_estimators': 365, 'max_depth': 4, 'learning_rate': 0.16867959680977157, 'scale_pos_weight': 533.3984039201525}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:31,570] Trial 19 finished with value: 0.3904382470119522 and parameters: {'n_estimators': 303, 'max_depth': 5, 'learning_rate': 0.12236870955588133, 'scale_pos_weight': 562.972447107021}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:36,795] Trial 20 finished with value: 0.3952569169960474 and parameters: {'n_estimators': 258, 'max_depth': 5, 'learning_rate': 0.0811637272483634, 'scale_pos_weight': 491.69924064249653}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:42,072] Trial 21 finished with value: 0.3937007874015748 and parameters: {'n_estimators': 282, 'max_depth': 4, 'learning_rate': 0.14389567398343528, 'scale_pos_weight': 541.4499762922396}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:45,698] Trial 22 finished with value: 0.3952569169960474 and parameters: {'n_estimators': 316, 'max_depth': 4, 'learning_rate': 0.15242320449262128, 'scale_pos_weight': 599.9336403974322}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:47,209] Trial 23 finished with value: 0.38022813688212925 and parameters: {'n_estimators': 348, 'max_depth': 3, 'learning_rate': 0.13162039980391663, 'scale_pos_weight': 523.9704488639326}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:48,052] Trial 24 finished with value: 0.3952569169960474 and parameters: {'n_estimators': 269, 'max_depth': 4, 'learning_rate': 0.17434339800532753, 'scale_pos_weight': 558.9755183332843}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:48,536] Trial 25 finished with value: 0.3937007874015748 and parameters: {'n_estimators': 225, 'max_depth': 4, 'learning_rate': 0.13879541147067678, 'scale_pos_weight': 439.4165414486734}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:53,144] Trial 26 finished with value: 0.38022813688212925 and parameters: {'n_estimators': 299, 'max_depth': 3, 'learning_rate': 0.15637934270891865, 'scale_pos_weight': 502.2508820107508}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:09:58,735] Trial 27 finished with value: 0.3904382470119522 and parameters: {'n_estimators': 204, 'max_depth': 5, 'learning_rate': 0.11695965366077597, 'scale_pos_weight': 474.48537298041754}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:10:01,803] Trial 28 finished with value: 0.3952569169960474 and parameters: {'n_estimators': 254, 'max_depth': 4, 'learning_rate': 0.19215200608728428, 'scale_pos_weight': 600.3669196955545}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:10:04,430] Trial 29 finished with value: 0.392 and parameters: {'n_estimators': 397, 'max_depth': 7, 'learning_rate': 0.17297988320397106, 'scale_pos_weight': 454.5369637335263}. Best is trial 2 with value: 0.3952569169960474.
[I 2026-05-14 15:10:11,718] A new study created in memory with name: no-name-24dc5afa-1001-488c-be0c-047dabbb1796
[I 2026-05-14 15:10:21,707] Trial 0 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 285, 'max_depth': 6, 'learning_rate': 0.19175608740504418, 'scale_pos_weight': 443.2644499791941}. Best is trial 0 with value: 0.8461538461538461.
[I 2026-05-14 15:10:22,191] Trial 1 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 147, 'max_depth': 4, 'learning_rate': 0.1836502517854745, 'scale_pos_weight': 437.4284248088072}. Best is trial 0 with value: 0.8461538461538461.
[I 2026-05-14 15:10:24,273] Trial 2 finished with value: 0.38461538461538464 and parameters: {'n_estimators': 206, 'max_depth': 3, 'learning_rate': 0.08563751702729133, 'scale_pos_weight': 570.3295149661978}. Best is trial 0 with value: 0.8461538461538461.
[I 2026-05-14 15:10:27,548] Trial 3 finished with value: 0.6715328467153284 and parameters: {'n_estimators': 117, 'max_depth': 5, 'learning_rate': 0.05973900983839654, 'scale_pos_weight': 510.98810541956146}. Best is trial 0 with value: 0.8461538461538461.
[I 2026-05-14 15:10:31,436] Trial 4 finished with value: 0.8269230769230769 and parameters: {'n_estimators': 278, 'max_depth': 7, 'learning_rate': 0.07800793564661096, 'scale_pos_weight': 595.0522980472991}. Best is trial 0 with value: 0.8461538461538461.
[I 2026-05-14 15:10:37,055] Trial 5 finished with value: 0.8073394495412844 and parameters: {'n_estimators': 391, 'max_depth': 3, 'learning_rate': 0.13524237048611393, 'scale_pos_weight': 508.0486634609415}. Best is trial 0 with value: 0.8461538461538461.
[I 2026-05-14 15:10:41,386] Trial 6 finished with value: 0.6766917293233082 and parameters: {'n_estimators': 108, 'max_depth': 5, 'learning_rate': 0.08192225046094248, 'scale_pos_weight': 542.2005401652763}. Best is trial 0 with value: 0.8461538461538461.
[I 2026-05-14 15:10:47,631] Trial 7 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 309, 'max_depth': 4, 'learning_rate': 0.17723145408348917, 'scale_pos_weight': 452.4156957558945}. Best is trial 7 with value: 0.8543689320388349.
[I 2026-05-14 15:11:03,531] Trial 8 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 277, 'max_depth': 7, 'learning_rate': 0.1859002676241518, 'scale_pos_weight': 530.9596605146877}. Best is trial 7 with value: 0.8543689320388349.
[I 2026-05-14 15:11:07,507] Trial 9 finished with value: 0.5411764705882353 and parameters: {'n_estimators': 190, 'max_depth': 3, 'learning_rate': 0.12033882841116623, 'scale_pos_weight': 602.3055146654472}. Best is trial 7 with value: 0.8543689320388349.
[I 2026-05-14 15:11:18,150] Trial 10 finished with value: 0.8653846153846154 and parameters: {'n_estimators': 358, 'max_depth': 4, 'learning_rate': 0.1524538105437732, 'scale_pos_weight': 467.20915304252316}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:11:22,411] Trial 11 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 359, 'max_depth': 4, 'learning_rate': 0.15394819183454128, 'scale_pos_weight': 474.057138239634}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:11:29,845] Trial 12 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 350, 'max_depth': 4, 'learning_rate': 0.16095134718634257, 'scale_pos_weight': 415.13396164244296}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:11:32,626] Trial 13 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 320, 'max_depth': 4, 'learning_rate': 0.15722507973120206, 'scale_pos_weight': 477.96740076192236}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:11:35,708] Trial 14 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 394, 'max_depth': 5, 'learning_rate': 0.12062399467321754, 'scale_pos_weight': 473.97554634116864}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:11:39,094] Trial 15 finished with value: 0.8431372549019608 and parameters: {'n_estimators': 313, 'max_depth': 5, 'learning_rate': 0.17148563323500213, 'scale_pos_weight': 452.0667394033261}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:11:50,405] Trial 16 finished with value: 0.819047619047619 and parameters: {'n_estimators': 226, 'max_depth': 6, 'learning_rate': 0.13869097413350961, 'scale_pos_weight': 415.1874223479526}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:11:54,881] Trial 17 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 344, 'max_depth': 4, 'learning_rate': 0.19775143455123, 'scale_pos_weight': 492.68763992332276}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:04,718] Trial 18 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 257, 'max_depth': 6, 'learning_rate': 0.17277507762957345, 'scale_pos_weight': 455.5099829478667}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:08,486] Trial 19 finished with value: 0.7076923076923077 and parameters: {'n_estimators': 313, 'max_depth': 3, 'learning_rate': 0.1059019781375448, 'scale_pos_weight': 545.6548585732227}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:14,801] Trial 20 finished with value: 0.8571428571428571 and parameters: {'n_estimators': 364, 'max_depth': 4, 'learning_rate': 0.14280949328594258, 'scale_pos_weight': 484.92699184201734}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:17,723] Trial 21 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 369, 'max_depth': 4, 'learning_rate': 0.1429532613289597, 'scale_pos_weight': 486.68954882886663}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:19,683] Trial 22 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 372, 'max_depth': 4, 'learning_rate': 0.14394868785763962, 'scale_pos_weight': 490.46812548295634}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:23,008] Trial 23 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 381, 'max_depth': 5, 'learning_rate': 0.10956566876319723, 'scale_pos_weight': 499.6386501342638}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:30,631] Trial 24 finished with value: 0.8148148148148148 and parameters: {'n_estimators': 339, 'max_depth': 3, 'learning_rate': 0.14901749823680882, 'scale_pos_weight': 465.66988380420065}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:35,049] Trial 25 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 374, 'max_depth': 4, 'learning_rate': 0.12840939968517628, 'scale_pos_weight': 519.4262744341685}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:38,550] Trial 26 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 398, 'max_depth': 4, 'learning_rate': 0.16493402484717387, 'scale_pos_weight': 492.8369154531153}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:41,803] Trial 27 finished with value: 0.7419354838709677 and parameters: {'n_estimators': 332, 'max_depth': 3, 'learning_rate': 0.10452175685307508, 'scale_pos_weight': 430.83975040346115}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:45,087] Trial 28 finished with value: 0.84 and parameters: {'n_estimators': 369, 'max_depth': 5, 'learning_rate': 0.14616928710987248, 'scale_pos_weight': 619.9635570951273}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:12:52,112] Trial 29 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 291, 'max_depth': 5, 'learning_rate': 0.13368892120193246, 'scale_pos_weight': 522.8935149014337}. Best is trial 10 with value: 0.8653846153846154.
[I 2026-05-14 15:22:26,738] A new study created in memory with name: no-name-240ea28a-82c8-4ace-8b6e-4e406032acd4
[I 2026-05-14 15:22:30,859] Trial 0 finished with value: 0.8301886792452831 and parameters: {'n_estimators': 149, 'max_depth': 5, 'learning_rate': 0.181321980322666, 'scale_pos_weight': 471.7259339055736}. Best is trial 0 with value: 0.8301886792452831.
